,C,C1b,C2,C2a,C2b,D1a,E1b,F,G1,G2a,H1a,I1,I2a,J1a,J2a,J2b,L1a,N,N1a,N1b,O1a,O1b,O2,O2a,Q1,Q1a,Q1b,R1a,R1b,R2a,T1,T1a
Han_Anhui,0.006849315,0,0.006849315,0.006849315,0.04109589,0.020547945,0,0,0,0,0,0,0,0,0,0,0,0,0.01369863,0.04109589,0.123287671,0.089041096,0.020547945,0.616438356,0,0.006849315,0,0.006849315,0,0,0,0
Han_Beijing,0.006622517,0,0,0,0.105960265,0.033112583,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0.039735099,0.046357616,0.072847682,0.066225166,0,0.556291391,0,0.033112583,0,0.01986755,0.013245033,0,0,0
Han_Chongqing,0.008888889,0.008888889,0,0,0.093333333,0.017777778,0,0.004444444,0,0,0,0,0,0,0,0,0,0,0.008888889,0.044444444,0.173333333,0.16,0.004444444,0.448888889,0,0.022222222,0,0,0.004444444,0,0,0
Han_Fujian,0.015306122,0,0,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015306122,0.035714286,0.163265306,0.158163265,0.025510204,0.540816327,0,0.005102041,0,0,0,0,0,0
Han_Gansu,0.025125628,0,0,0,0.095477387,0.040201005,0.005025126,0,0.005025126,0.005025126,0,0,0,0,0.010050251,0,0,0,0.045226131,0.050251256,0.070351759,0.060301508,0.005025126,0.477386935,0.005025126,0.035175879,0,0.050251256,0.015075377,0,0,0
Han_Guangdong,0.024793388,0.005509642,0,0,0.03030303,0.002754821,0.002754821,0.008264463,0,0,0,0,0,0,0,0,0,0,0.011019284,0.024793388,0.173553719,0.190082645,0.013774105,0.504132231,0,0.005509642,0,0,0.002754821,0,0,0
Han_Guangxi,0.010471204,0,0,0,0.015706806,0.052356021,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0.02617801,0.062827225,0.167539267,0.267015707,0.005235602,0.376963351,0,0.005235602,0,0.005235602,0,0,0,0
Han_Guizhou,0.015748031,0,0,0,0.062992126,0.031496063,0.007874016,0,0,0,0,0,0,0,0,0,0,0,0.023622047,0.007874016,0.118110236,0.196850394,0.015748031,0.480314961,0,0.039370079,0,0,0,0,0,0
Han_Hainan,0.021052632,0,0,0,0.010526316,0.021052632,0,0,0,0,0,0,0,0,0,0,0,0,0.021052632,0.042105263,0.284210526,0.168421053,0,0.421052632,0,0,0,0.010526316,0,0,0,0
Han_Hebei,0.014285714,0,0,0,0.121428571,0.014285714,0,0,0,0,0.007142857,0,0,0,0,0,0,0,0.035714286,0.014285714,0.05,0.064285714,0.014285714,0.621428571,0,0.014285714,0,0.021428571,0.007142857,0,0,0
Han_Heilongjiang,0.025641026,0,0,0,0.128205128,0.008547009,0,0,0,0,0,0,0,0,0,0,0,0,0.042735043,0.008547009,0.05982906,0.094017094,0.017094017,0.581196581,0,0.034188034,0,0,0,0,0,0
Han_Henan,0.005952381,0,0,0,0.119047619,0.011904762,0,0,0,0.005952381,0,0,0,0,0,0.005952381,0,0,0.047619048,0.053571429,0.017857143,0.053571429,0,0.619047619,0,0.041666667,0,0.011904762,0.005952381,0,0,0
Han_Hubei,0.007490637,0,0,0,0.071161049,0.011235955,0,0,0,0.003745318,0,0,0,0.003745318,0.003745318,0,0,0,0.014981273,0.026217228,0.168539326,0.112359551,0.014981273,0.543071161,0,0.018726592,0,0,0,0,0,0
Han_Hunan,0.005263158,0,0,0,0.031578947,0.042105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036842105,0.142105263,0.163157895,0.015789474,0.536842105,0,0.026315789,0,0,0,0,0,0
Han_Innermongolia,0.033057851,0,0,0.008264463,0.049586777,0.041322314,0,0,0,0,0,0,0,0,0.008264463,0,0,0,0.05785124,0.033057851,0.024793388,0.074380165,0.008264463,0.595041322,0.008264463,0.024793388,0.016528926,0.016528926,0,0,0,0
Han_Jiangsu,0,0,0,0,0.054545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0.036363636,0.127272727,0.136363636,0.009090909,0.6,0,0.018181818,0,0,0,0,0,0
Han_Jiangxi,0.015151515,0,0,0,0.04040404,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0.005050505,0.005050505,0.04040404,0.191919192,0.161616162,0.01010101,0.48989899,0,0.025252525,0,0,0,0,0,0
Han_Jilin,0.017699115,0,0,0.008849558,0.123893805,0,0,0,0,0,0,0,0,0,0.008849558,0,0,0,0.053097345,0.017699115,0.07079646,0.10619469,0,0.575221239,0,0.008849558,0,0,0.008849558,0,0,0
Han_Liaoning,0.032258065,0,0,0,0.14516129,0.016129032,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0.056451613,0.032258065,0.024193548,0.10483871,0,0.548387097,0,0.024193548,0,0,0.008064516,0,0,0
Han_Ningxia,0.069767442,0,0,0,0.069767442,0.11627907,0,0,0,0,0,0,0,0,0,0,0,0,0.046511628,0.023255814,0.139534884,0.093023256,0,0.418604651,0,0,0.023255814,0,0,0,0,0
Han_Qinghai,0.173913043,0,0,0,0.043478261,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0.043478261,0.043478261,0,0.47826087,0,0,0,0,0.043478261,0,0,0
Han_Shaanxi,0.018691589,0,0,0.009345794,0.074766355,0.037383178,0,0,0,0,0,0,0,0,0.018691589,0,0,0,0.018691589,0.037383178,0.074766355,0.08411215,0.018691589,0.514018692,0,0.056074766,0,0.028037383,0.009345794,0,0,0
Han_Shandong,0.006578947,0,0,0,0.125,0.013157895,0.006578947,0,0,0,0,0,0,0,0,0,0,0,0.046052632,0.046052632,0.065789474,0.052631579,0.026315789,0.552631579,0,0.046052632,0.006578947,0,0.006578947,0,0,0
Han_Shanghai,0,0,0,0,0.062015504,0.007751938,0,0,0,0,0,0.007751938,0,0,0,0,0,0,0.031007752,0.062015504,0.178294574,0.062015504,0.03875969,0.511627907,0,0.031007752,0,0,0,0,0,0.007751938
Han_Shanxi,0.009090909,0,0,0.018181818,0.109090909,0.009090909,0,0,0,0,0,0,0,0,0.009090909,0,0.009090909,0,0.036363636,0.054545455,0.009090909,0.054545455,0.018181818,0.627272727,0.009090909,0,0,0.018181818,0,0.009090909,0,0
Han_Sichuan,0.006968641,0.003484321,0,0,0.066202091,0.031358885,0,0,0,0,0,0,0,0.003484321,0.006968641,0,0,0,0.020905923,0.045296167,0.135888502,0.108013937,0.013937282,0.536585366,0,0.017421603,0.003484321,0,0,0,0,0
Han_Taiwan,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0.155555556,0.111111111,0.022222222,0.6,0,0.022222222,0,0.022222222,0,0,0,0
Han_Tianjin,0.017094017,0,0,0,0.111111111,0.008547009,0,0,0,0,0,0,0,0,0,0,0,0,0.034188034,0.042735043,0.05982906,0.076923077,0.025641026,0.572649573,0,0.025641026,0,0.017094017,0.008547009,0,0,0
Han_Xinjiang,0.024390244,0,0,0,0.048780488,0.024390244,0,0,0,0,0,0,0,0,0.024390244,0,0.024390244,0,0.024390244,0.048780488,0.146341463,0,0,0.56097561,0,0.048780488,0,0.024390244,0,0,0,0
Han_Yunnan,0,0.006451613,0,0,0.038709677,0.006451613,0,0.019354839,0,0.006451613,0,0,0,0.006451613,0.006451613,0,0.006451613,0,0.032258065,0.058064516,0.122580645,0.141935484,0.012903226,0.483870968,0,0.025806452,0,0.012903226,0.012903226,0,0,0
Han_Zhejiang,0.009174312,0,0,0,0.055045872,0.018348624,0,0,0,0,0,0,0,0,0,0,0,0,0.018348624,0.064220183,0.23853211,0.091743119,0.009174312,0.486238532,0,0.009174312,0,0,0,0,0,0
Miao_Guangxi,0,0,0,0,0.1,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.633333333,0,0.033333333,0,0,0,0,0,0
Miao_Guizhou,0,0.023255814,0,0,0.046511628,0.069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209302326,0.23255814,0,0.395348837,0,0.023255814,0,0,0,0,0,0
Mongolian_Innermongolia,0.136363636,0,0,0.056818182,0.090909091,0.011363636,0,0,0,0.011363636,0,0,0.011363636,0,0,0,0,0,0.045454545,0.022727273,0,0.045454545,0,0.522727273,0,0.034090909,0,0.011363636,0,0,0,0
Mongolian_Liaoning,0.125,0,0,0,0.041666667,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0.083333333,0.083333333,0,0.541666667,0,0,0,0.041666667,0,0,0,0
Mosuo_Sichuan,0,0,0,0,0.095238095,0.238095238,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0.095238095,0.095238095,0,0.19047619,0,0,0,0,0,0,0,0
Tibetan_Sichuan,0,0,0,0,0.00990099,0.613861386,0,0,0,0,0,0,0,0,0,0,0,0,0.01980198,0,0.01980198,0.059405941,0,0.247524752,0,0.00990099,0,0.00990099,0,0,0.00990099,0
Tujia_Hunan,0,0,0,0,0.32,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.08,0.08,0,0.32,0,0,0,0,0,0,0,0
Yi_Sichuan,0,0.022727273,0,0,0.068181818,0.272727273,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0.022727273,0.068181818,0.045454545,0.045454545,0,0.409090909,0,0,0,0,0,0,0,0
Yi_Yunnan,0,0,0,0,0.045454545,0.045454545,0,0.090909091,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0.090909091,0.136363636,0,0.5,0,0.045454545,0,0,0,0,0,0
Zhuang_Guangxi,0,0.068965517,0,0,0.034482759,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.275862069,0.379310345,0.034482759,0.103448276,0,0,0,0,0,0,0,0
